,fecha,inflacion_diaria,Fuente,inflacion_acumulada
0,2006-01-01,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0
1,2006-01-01,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0003848666507296
2,2006-01-02,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.000769881423798
3,2006-01-03,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0011550443762125
4,2006-01-04,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0015403555650026
5,2006-01-05,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0019258150472194
6,2006-01-06,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0023114228799361
7,2006-01-07,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.002697179120248
8,2006-01-08,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.003083083825272
9,2006-01-09,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0034691370521474
10,2006-01-10,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0038553388580351
11,2006-01-11,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0042416893001185
12,2006-01-12,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0046281884356023
13,2006-01-13,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.005014836321714
14,2006-01-14,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0054016330157025
15,2006-01-15,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0057885785748393
16,2006-01-16,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0061756730564175
17,2006-01-17,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0065629165177523
18,2006-01-18,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.006950309016181
19,2006-01-19,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0073378506090633
20,2006-01-20,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0077255413537805
21,2006-01-21,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0081133813077359
22,2006-01-22,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0085013705283554
23,2006-01-23,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.008889509073087
24,2006-01-24,1.0003848666507296,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf,1.0092777969994
